tconst	averageRating	numVotes
tt0000648	4.6	181
tt0000650	7.7	22
tt0000651	4.8	80
tt0000653	4.5	237
tt0000654	4.8	124
tt0000658	6.4	301
tt0000659	4.8	85
tt0000660	5.4	63
tt0000661	7.6	23
tt0000662	4.3	70
tt0000663	5.4	63
tt0000665	5.6	65
tt0000666	5.4	33
tt0000668	6.9	58
tt0000669	4.9	169
tt0000671	5.8	17
tt0000672	6.2	48
tt0000673	5.7	16
tt0000674	4.7	56
tt0000675	4.2	22
tt0000676	3.6	18
tt0000677	5.8	22
tt0000679	5.2	76
tt0000680	5.5	53
tt0000681	5.8	42
tt0000682	6.9	2933
tt0000683	5.6	94
tt0000684	5.1	136
tt0000685	5.8	47
tt0000689	6.2	59
tt0000690	6.1	46
tt0000694	5.4	53
tt0000695	5.8	56
tt0000697	4.6	32
tt0000698	5.6	28
tt0000699	5.9	27
tt0000700	5.0	82
tt0000704	5.5	60
tt0000706	5.2	32
tt0000707	4.4	27
tt0000708	4.5	44
tt0000709	5.5	73
tt0000711	4.2	25
tt0000713	5.6	25
tt0000717	5.9	23
tt0000720	6.4	21
tt0000722	4.7	12
tt0000724	5.2	45
tt0000725	4.0	24
tt0000727	5.5	21
tt0000728	5.8	140
tt0000730	5.8	74
tt0000731	5.1	26
tt0000733	6.2	32
tt0000734	4.0	16
tt0000737	4.7	37
tt0000738	7.9	21
tt0000739	6.2	17
tt0000740	5.5	20
tt0000741	5.3	29
tt0000743	6.7	16
tt0000746	7.1	19
tt0000747	5.5	34
tt0000748	5.7	29
tt0000749	5.8	883
tt0000752	5.1	148
tt0000754	7.2	72
tt0000755	5.7	233
tt0000756	5.2	153
tt0000758	5.8	31
tt0000759	6.8	13
tt0000760	4.8	10
tt0000762	5.5	45
tt0000764	5.6	146
tt0000765	5.6	17
tt0000767	6.4	26
tt0000768	6.3	9
tt0000769	5.3	179
